transfer,player,age,season,matches_played,play_proportion,raw_goals,raw_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,prog_dist_per_pass,Shot_Creating_Actions,def_action_to_shot,goal_creating_action,takeon_to_goal,prog_dist_per_carry,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,tackle_ratio,Shot_Blocks,Pass_Blocks,Clearances,Aerial_Win_Percentage,aerials_total,FW,MF,DF,90minutes
1,Fabinho,24,2017-2018,34,1.0,0.206,0.088,0.088,58.912,0.856,1.059,0.824,37.034,2.706,0.147,0.529,0.118,59.0,1.676,1.5,0.725,0.561,0.382,1.029,1.824,0.676,4.088,0,1,0,34.0
1,Rachid Ghezzal,26,2017-2018,26,0.867,0.179,0.268,0.179,50.815,0.708,1.431,1.163,31.789,4.205,0.0,0.805,0.089,31.615,11.362,4.92,0.527,0.774,0.0,1.521,0.179,0.29,2.773,1,1,0,11.178
1,Nampalys Mendy,26,2017-2018,14,0.5,0.0,0.093,0.0,69.389,0.903,0.187,0.0,44.391,1.119,0.0,0.187,0.0,110.0,0.56,0.373,0.75,0.462,0.093,0.746,0.933,0.5,0.56,0,1,0,10.722
1,Max Gradel,30,2017-2018,29,1.0,0.298,0.037,0.149,37.863,0.557,1.64,1.379,39.052,3.913,0.075,0.261,0.0,24.846,11.776,5.329,0.552,0.571,0.075,1.379,1.118,0.206,2.348,1,1,0,26.833
1,Issa Diop,21,2017-2018,34,1.0,0.088,0.0,0.088,36.676,0.793,0.147,0.118,82.443,0.676,0.0,0.0,0.0,203.571,0.029,0.441,0.733,0.741,0.735,0.382,3.765,0.613,2.735,0,0,1,34.0
1,Dimitri Foulquier,25,2017-2018,16,0.889,0.0,0.145,0.0,49.249,0.785,0.581,0.726,59.212,1.961,0.0,0.218,0.0,40.159,2.179,3.923,0.611,0.48,0.291,0.799,2.397,0.385,0.944,0,0,1,13.767
1,Yves Bissouma,21,2017-2018,24,0.8,0.115,0.058,0.115,60.077,0.841,0.634,0.404,37.115,2.652,0.0,0.231,0.058,45.984,2.94,4.324,0.733,0.746,0.115,0.634,1.787,0.667,1.903,0,1,1,17.344
1,Adama Diakhaby,22,2017-2018,22,0.688,0.212,0.318,0.212,22.341,0.664,0.847,0.424,51.429,1.694,0.106,0.424,0.0,26.192,8.682,2.647,0.2,0.652,0.0,1.376,0.529,0.357,4.447,1,0,0,9.444
1,Isaac Mbenza,22,2017-2018,38,1.0,0.344,0.0,0.344,27.996,0.65,1.245,0.386,31.333,2.963,0.086,0.129,0.043,26.432,7.686,1.503,0.629,0.688,0.043,0.301,0.215,0.389,0.773,1,1,0,23.289
1,João Moutinho,31,2017-2018,33,0.917,0.032,0.193,0.032,64.988,0.825,1.766,0.963,30.765,3.243,0.0,0.417,0.0,72.13,2.44,0.931,0.724,0.631,0.385,1.284,1.734,0.51,1.573,0,1,0,31.144
1,Prince Oniangué,29,2017-2018,14,1.0,0.085,0.0,0.085,29.574,0.784,0.682,0.341,24.933,1.705,0.17,0.085,0.085,35.882,1.875,0.767,0.778,0.688,0.341,1.364,0.682,0.415,8.011,0,1,0,11.733
1,Maxime Le Marchand,28,2017-2018,29,0.935,0.0,0.107,0.0,70.075,0.878,0.391,0.391,88.557,1.243,0.071,0.107,0.0,78.0,2.451,0.852,0.708,0.75,0.462,0.817,3.729,0.689,2.628,0,0,1,28.156
1,Youri Tielemans,21,2017-2018,27,0.844,0.0,0.057,0.0,48.642,0.797,0.975,0.287,33.651,3.327,0.057,0.402,0.057,49.833,3.442,2.467,0.558,0.511,0.287,1.09,1.147,0.533,2.581,0,1,0,17.433
1,Emiliano Sala,26,2017-2018,36,1.0,0.356,0.119,0.238,25.12,0.613,1.039,0.534,20.254,2.346,0.059,0.119,0.0,28.059,6.622,1.574,0.528,0.579,0.089,0.713,1.485,0.373,9.472,1,0,0,33.678
1,Yuri Berchiche,28,2017-2018,22,0.629,0.105,0.21,0.105,62.098,0.865,0.839,1.101,57.486,1.888,0.052,0.367,0.052,41.341,7.605,0.839,0.75,0.692,0.105,0.682,2.78,0.696,2.937,0,0,1,19.067
1,Thomas Lemar,22,2017-2018,30,1.0,0.076,0.303,0.076,49.92,0.77,2.082,1.362,30.56,4.05,0.0,0.606,0.151,37.312,6.169,3.368,0.517,0.515,0.038,0.795,0.606,0.318,0.833,1,1,0,26.422
1,Malcom,21,2017-2018,35,1.0,0.378,0.221,0.315,49.664,0.75,2.742,2.174,30.527,5.735,0.0,0.693,0.063,33.431,8.571,4.443,0.66,0.667,0.032,0.378,0.189,0.269,2.111,1,0,0,31.733
1,Marlon,22,2017-2018,23,0.852,0.0,0.0,0.0,65.459,0.943,0.187,0.14,134.432,0.467,0.047,0.047,0.0,322.0,0.14,0.513,0.818,0.722,0.7,0.187,3.359,0.617,2.799,0,0,1,21.433
1,Júnior Alonso,25,2017-2018,34,0.919,0.065,0.032,0.065,60.971,0.808,0.356,0.162,118.263,0.874,0.0,0.097,0.0,212.211,0.453,0.583,0.833,0.534,0.518,0.324,4.951,0.679,4.337,0,0,1,30.9
1,Giovani Lo Celso,22,2017-2018,33,0.892,0.203,0.152,0.203,81.182,0.895,0.912,1.52,34.803,3.142,0.203,0.405,0.101,69.369,2.838,3.395,0.701,0.753,0.253,1.267,0.608,0.278,0.912,0,1,0,19.733
1,Ibrahim Amadou,25,2017-2018,30,1.0,0.0,0.0,0.0,59.164,0.872,0.374,0.15,80.333,1.01,0.0,0.0,0.0,160.167,0.711,0.486,0.846,0.674,0.486,0.636,2.62,0.55,2.245,0,1,1,26.722
1,Joris Gnagnon,21,2017-2018,36,0.947,0.062,0.062,0.062,40.113,0.906,0.123,0.0,95.429,0.432,0.0,0.062,0.0,246.8,0.216,0.216,1.0,0.69,0.493,0.185,4.748,0.667,3.237,0,0,1,32.433
1,Mouctar Diakhaby,21,2017-2018,12,0.364,0.124,0.0,0.124,51.799,0.881,0.0,0.0,139.059,0.124,0.124,0.0,0.0,203.5,0.0,0.865,1.0,0.6,1.113,0.618,6.429,0.618,4.203,0,0,1,8.089
1,Karl Toko Ekambi,25,2017-2018,37,1.0,0.503,0.178,0.414,28.214,0.756,1.391,0.888,22.237,3.227,0.03,0.414,0.03,22.087,10.421,3.878,0.504,0.471,0.0,0.385,0.059,0.264,3.138,1,1,0,33.778
1,Keita Baldé,23,2017-2018,23,0.92,0.489,0.305,0.489,23.951,0.709,0.916,0.794,24.281,2.566,0.0,0.611,0.244,22.053,8.493,2.811,0.652,0.667,0.061,0.55,0.305,0.349,2.627,1,1,0,16.367
1,Kévin Malcuit,27,2017-2018,23,1.0,0.0,0.297,0.0,59.439,0.787,1.238,0.991,53.773,2.625,0.05,0.347,0.0,35.779,5.647,4.755,0.594,0.725,0.248,0.396,2.328,0.52,1.238,0,0,1,20.189
1,Javier Pastore,29,2017-2018,25,0.893,0.267,0.334,0.267,68.018,0.812,1.737,2.205,33.448,4.009,0.067,0.668,0.067,36.308,8.753,2.806,0.643,0.636,0.0,0.869,0.935,0.333,0.802,1,1,0,14.967
1,Soualiho Meïté,24,2017-2018,20,0.952,0.063,0.126,0.063,47.484,0.833,1.006,0.44,33.689,2.516,0.126,0.314,0.0,45.25,2.893,3.145,0.7,0.519,0.377,1.069,1.006,0.604,3.019,0,1,0,15.9
1,Koffi Djidji,25,2017-2018,29,0.829,0.0,0.0,0.0,37.401,0.741,0.186,0.335,104.0,0.782,0.075,0.075,0.0,67.333,0.894,0.559,0.8,0.709,0.559,0.708,4.694,0.661,2.086,0,0,1,26.844
1,Assane Dioussé,21,2017-2018,25,0.676,0.067,0.0,0.067,58.661,0.837,0.536,0.268,39.839,1.004,0.0,0.0,0.0,71.857,1.741,1.004,0.867,0.656,0.134,1.808,1.071,0.4,1.674,0,1,0,14.933
1,Lukas Lerager,25,2017-2018,37,1.0,0.082,0.027,0.082,44.082,0.759,0.658,0.631,35.228,2.056,0.082,0.082,0.0,56.971,2.659,0.384,0.571,0.692,0.219,0.987,1.809,0.569,4.77,0,1,0,36.478
1,Hamza Mendyl,20,2017-2018,12,0.5,0.0,0.0,0.0,43.678,0.77,0.317,0.635,83.3,1.058,0.0,0.0,0.0,36.87,4.336,2.538,0.5,0.556,0.0,0.529,2.75,0.4,1.586,0,1,1,9.456
1,Nordi Mukiele,20,2017-2018,33,0.943,0.0,0.032,0.0,56.947,0.747,1.129,1.096,61.75,2.257,0.097,0.064,0.0,53.354,2.58,2.032,0.651,0.786,0.451,0.387,3.354,0.676,3.386,0,0,1,31.011
1,Fallou Diagne,28,2017-2018,29,0.967,0.04,0.04,0.04,40.979,0.779,0.322,0.08,120.597,0.965,0.08,0.161,0.0,169.286,0.483,0.362,0.889,0.606,0.724,0.603,4.665,0.674,3.7,0,1,1,24.867
1,Jérôme Roussillon,25,2017-2018,22,1.0,0.144,0.144,0.144,48.59,0.751,1.293,1.053,67.862,3.064,0.0,0.431,0.048,26.694,5.984,3.447,0.514,0.675,0.144,1.101,2.489,0.407,1.293,0,0,1,20.889
1,Paul-Georges Ntep,25,2017-2018,13,1.0,0.176,0.0,0.176,33.816,0.656,1.057,1.937,24.913,3.17,0.0,0.352,0.0,27.947,10.215,3.699,0.667,0.571,0.176,0.528,0.705,0.385,2.29,1,1,0,5.678
1,Almamy Touré,22,2017-2018,20,0.625,0.072,0.361,0.072,47.38,0.706,1.226,0.865,62.806,2.308,0.0,0.649,0.144,35.938,5.481,1.37,0.684,0.569,0.144,0.938,4.399,0.593,3.894,0,0,1,13.867
1,Manu García,21,2018-2019,31,0.838,0.0,0.195,0.0,45.659,0.788,1.074,0.928,26.367,2.832,0.049,0.244,0.0,55.417,3.174,2.832,0.552,0.703,0.049,0.733,0.244,0.176,0.83,0,1,0,20.478
1,Sheyi Ojo,22,2018-2019,15,0.682,0.0,0.0,0.0,20.0,0.596,0.769,0.577,24.286,2.692,0.0,0.577,0.0,29.929,9.038,4.423,0.348,0.75,0.0,0.192,0.385,0.2,3.846,1,1,0,5.2
1,Michael Hector,26,2018-2019,37,0.925,0.056,0.0,0.028,44.32,0.683,0.444,0.25,117.827,0.833,0.028,0.111,0.0,294.8,0.194,0.694,0.84,0.595,0.777,0.971,5.772,0.635,5.55,0,0,1,36.033
1,Jack Clarke,18,2018-2019,22,0.71,0.223,0.223,0.223,35.309,0.71,1.894,1.671,26.452,4.344,0.0,0.446,0.111,27.558,11.584,5.235,0.553,0.692,0.0,1.114,0.446,0.227,2.45,1,1,0,8.978
1,Nicolas Pépé,24,2018-2019,38,1.0,0.596,0.298,0.352,35.063,0.758,1.895,1.029,30.172,4.765,0.054,0.975,0.19,30.194,7.933,4.928,0.555,0.37,0.0,0.894,0.298,0.532,2.139,1,1,0,36.933
1,William Saliba,18,2018-2019,16,0.533,0.0,0.0,0.0,46.938,0.854,0.07,0.141,166.429,0.282,0.0,0.0,0.0,161.143,0.282,0.846,0.75,0.625,0.705,0.07,3.101,0.596,3.312,0,0,1,14.189
1,Daniel James,21,2018-2019,33,0.846,0.144,0.252,0.144,37.908,0.752,1.44,2.412,28.546,4.608,0.0,0.576,0.108,24.33,14.076,2.736,0.579,0.769,0.0,0.72,0.468,0.259,1.944,1,1,0,27.778
1,Djibril Sidibé,27,2018-2019,26,1.0,0.0,0.087,0.0,62.211,0.732,1.301,1.561,52.376,2.905,0.13,0.13,0.0,40.776,7.197,1.387,0.25,0.68,0.39,0.694,2.211,0.536,2.428,0,1,1,23.067
1,Youri Tielemans,22,2018-2019,20,1.0,0.268,0.054,0.214,52.179,0.764,1.018,0.75,32.267,2.571,0.054,0.161,0.0,53.73,2.196,1.875,0.514,0.533,0.161,0.911,1.179,0.614,2.357,0,1,0,18.667
1,Craig Dawson,29,2018-2019,41,1.0,0.051,0.051,0.051,52.798,0.8,0.406,0.254,76.436,0.888,0.025,0.101,0.0,82.169,0.203,0.127,0.8,0.725,0.862,0.279,3.728,0.657,6.948,0,0,1,39.433
1,Allan Saint-Maximin,22,2018-2019,34,1.0,0.186,0.093,0.155,29.855,0.721,1.769,0.869,23.946,4.314,0.0,0.341,0.124,25.797,9.59,7.821,0.567,0.5,0.0,0.341,0.093,0.492,1.893,1,0,0,32.222
1,Emil Krafth,25,2018-2019,35,0.946,0.03,0.03,0.03,45.363,0.694,0.484,0.605,88.794,0.999,0.03,0.061,0.0,37.038,2.239,0.666,0.364,0.636,0.363,0.454,2.845,0.568,2.239,0,0,1,33.044
1,Lloyd Kelly,20,2018-2019,32,0.696,0.039,0.0,0.039,53.93,0.635,0.389,0.7,95.954,1.479,0.0,0.117,0.0,43.0,3.035,1.984,0.588,0.667,0.233,0.584,3.619,0.589,5.019,0,0,1,25.7
1,Erik Pieters,30,2018-2019,15,0.938,0.071,0.071,0.071,52.53,0.7,0.856,0.999,66.383,1.998,0.071,0.143,0.0,46.0,1.642,1.071,0.467,0.571,0.928,0.571,3.997,0.5,2.998,0,0,1,14.011
1,Erik Pieters,30,2018-2019,21,0.955,0.098,0.098,0.098,61.887,0.748,0.39,0.83,55.278,1.171,0.0,0.195,0.0,46.829,1.806,0.488,0.5,0.653,0.342,1.123,4.295,0.579,3.709,0,0,1,20.489
1,Adam Webster,24,2018-2019,44,1.0,0.072,0.0,0.072,62.885,0.74,0.625,0.264,69.371,1.562,0.072,0.072,0.0,89.395,0.457,0.697,0.724,0.59,0.841,0.697,4.567,0.718,9.303,0,0,1,41.6
1,Neal Maupay,22,2018-2019,43,1.0,0.607,0.194,0.534,20.642,0.761,1.384,0.777,18.076,3.181,0.049,0.461,0.097,29.155,6.97,1.943,0.388,0.548,0.024,0.583,0.17,0.234,2.598,1,0,0,41.178
1,Oliver McBurnie,23,2018-2019,42,0.977,0.58,0.105,0.501,29.693,0.736,1.396,0.685,22.284,2.977,0.026,0.237,0.0,32.133,6.191,2.029,0.494,0.605,0.132,0.527,1.37,0.441,7.535,1,1,0,37.956
1,Callum Robinson,24,2018-2019,27,1.0,0.53,0.133,0.53,33.711,0.667,1.679,1.546,37.985,3.446,0.044,0.486,0.044,28.838,7.246,2.297,0.692,0.5,0.044,0.795,0.707,0.211,2.518,1,1,0,22.633
1,Luke Freeman,27,2018-2019,43,0.956,0.167,0.143,0.167,35.723,0.64,2.054,1.218,40.338,4.489,0.048,0.334,0.0,29.519,5.182,2.961,0.556,0.667,0.143,0.573,0.979,0.253,2.077,1,1,0,41.878
1,Ben Osborn,24,2018-2019,39,0.867,0.033,0.167,0.033,54.764,0.714,1.675,1.273,60.652,3.115,0.067,0.268,0.0,63.667,5.426,0.904,0.481,0.514,0.167,1.507,1.34,0.387,3.115,1,0,1,29.856
1,Ezri Konsa,21,2018-2019,42,0.955,0.024,0.0,0.024,53.52,0.873,0.192,0.168,70.037,0.744,0.024,0.072,0.0,117.81,0.216,0.552,0.696,0.68,0.48,0.336,3.744,0.55,3.576,0,0,1,41.667
1,Anwar El Ghazi,24,2018-2019,31,0.816,0.208,0.25,0.208,35.784,0.707,1.664,1.373,43.122,3.911,0.042,0.416,0.042,24.761,9.154,2.621,0.524,0.778,0.083,0.624,0.583,0.337,3.578,1,1,0,24.033
1,Björn Engels,24,2018-2019,33,1.0,0.03,0.03,0.03,40.0,0.835,0.333,0.212,86.087,0.788,0.0,0.061,0.0,172.05,0.121,0.303,0.6,0.727,0.727,0.182,5.485,0.669,4.485,0,0,1,33.0
1,Gary Gardner,27,2018-2019,40,0.952,0.055,0.083,0.055,37.8,0.648,0.692,0.803,34.973,2.049,0.138,0.332,0.0,52.538,1.218,0.858,0.677,0.655,0.277,1.163,1.495,0.614,4.597,0,1,0,36.111
1,Jack Clarke,19,2018-2019,22,0.71,0.223,0.223,0.223,35.309,0.71,1.894,1.671,26.452,4.344,0.0,0.446,0.111,27.558,11.584,5.235,0.553,0.692,0.0,1.114,0.446,0.227,2.45,1,1,0,8.978
1,Cameron Carter-Vickers,22,2018-2019,30,0.732,0.0,0.0,0.0,67.378,0.914,0.204,0.0,206.167,0.408,0.0,0.041,0.0,419.667,0.041,0.204,0.8,0.56,0.489,0.245,4.688,0.621,6.236,0,0,1,24.533
1,Kieran Dowell,22,2018-2019,16,0.8,0.269,0.0,0.269,39.148,0.677,0.673,1.076,24.475,3.229,0.269,0.269,0.0,27.0,7.803,1.48,0.545,0.875,0.0,0.538,1.345,0.292,3.229,0,1,1,7.433
1,Jarrod Bowen,23,2018-2019,46,1.0,0.502,0.091,0.411,26.425,0.659,1.05,0.936,34.651,2.875,0.046,0.319,0.023,27.033,5.545,2.807,0.537,0.621,0.091,1.027,1.095,0.254,2.784,1,1,0,43.822
1,Josh Brownhill,24,2018-2019,45,1.0,0.113,0.091,0.113,48.408,0.729,0.815,0.883,37.195,2.445,0.045,0.204,0.0,55.804,2.921,1.177,0.596,0.532,0.272,0.634,1.585,0.624,3.192,0,1,0,44.167
1,Nahki Wells,29,2018-2019,40,0.952,0.221,0.19,0.221,22.784,0.681,1.232,0.758,26.729,3.192,0.063,0.506,0.063,24.094,7.837,2.56,0.37,0.632,0.063,0.664,0.348,0.34,5.025,1,0,0,31.644
1,Jack Robinson,26,2018-2019,38,0.905,0.056,0.056,0.056,49.677,0.707,0.558,0.363,86.604,1.201,0.028,0.112,0.0,61.511,2.262,0.614,0.727,0.653,0.363,0.922,4.747,0.55,6.087,0,0,1,35.811
1,Mark Duffy,34,2018-2019,36,0.857,0.222,0.222,0.222,58.739,0.802,1.928,2.855,18.742,4.672,0.0,0.705,0.185,30.324,9.975,2.262,0.705,0.577,0.037,1.298,0.519,0.315,3.412,0,1,0,26.967
1,Scott Hogan,27,2018-2019,14,0.424,0.355,0.178,0.355,11.893,0.672,0.178,0.178,45.0,1.42,0.0,0.178,0.0,15.5,5.148,1.243,0.143,0.0,0.0,1.065,0.0,0.075,7.101,1,0,0,5.633
1,James Chester,31,2018-2019,28,1.0,0.181,0.0,0.181,45.308,0.87,0.072,0.0,109.594,0.254,0.0,0.0,0.0,676.333,0.0,0.217,0.667,0.393,0.58,0.399,6.597,0.608,6.198,0,0,1,27.589
1,Sergi Palencia,23,2018-2019,25,0.781,0.0,0.136,0.0,54.381,0.774,0.861,0.906,65.5,1.858,0.045,0.272,0.045,39.429,3.716,1.314,0.414,0.676,0.136,0.861,3.172,0.317,2.719,0,0,1,22.067
1,Gelson Martins,24,2018-2019,16,1.0,0.259,0.13,0.259,33.693,0.717,1.037,1.102,24.481,3.045,0.0,0.324,0.065,26.551,9.849,3.434,0.472,0.6,0.065,0.518,0.454,0.269,1.685,1,1,0,15.433
1,Ferland Mendy,24,2018-2019,30,0.968,0.071,0.036,0.071,70.194,0.829,1.422,0.853,42.663,3.343,0.0,0.213,0.0,42.649,7.539,2.56,0.764,0.636,0.178,0.605,1.885,0.561,2.916,0,0,1,28.122
1,Fayçal Fajr,31,2018-2019,36,1.0,0.139,0.111,0.111,59.611,0.755,1.5,0.694,44.862,3.556,0.056,0.361,0.0,68.513,1.639,1.306,0.617,0.492,0.167,0.583,0.528,0.417,1.0,0,1,0,36.0
1,Jules Koundé,20,2018-2019,37,1.0,0.0,0.027,0.0,54.459,0.801,0.27,0.216,84.087,0.757,0.0,0.054,0.0,170.781,0.081,0.405,0.867,0.646,0.622,0.568,5.216,0.569,5.514,0,0,1,37.0
1,Rony Lopes,23,2018-2019,24,1.0,0.097,0.097,0.097,33.537,0.649,2.288,1.168,35.015,4.916,0.146,0.195,0.0,27.027,8.177,3.018,0.452,0.667,0.049,0.779,0.487,0.25,1.363,1,1,0,20.544
1,Lucas Ocampos,24,2018-2019,34,1.0,0.133,0.266,0.133,31.274,0.735,1.03,0.864,39.907,2.26,0.066,0.332,0.033,31.271,6.979,4.586,0.478,0.675,0.166,1.163,0.997,0.411,3.157,1,1,0,30.089
1,Diego Carlos,26,2018-2019,35,0.972,0.029,0.0,0.029,48.774,0.819,0.257,0.257,86.384,0.915,0.029,0.057,0.0,151.1,0.257,0.229,0.75,0.586,0.886,0.372,5.318,0.555,4.431,0,0,1,34.978
1,Martin Braithwaite,28,2018-2019,17,0.85,0.245,0.0,0.245,23.092,0.7,0.49,0.653,27.143,2.285,0.0,0.082,0.0,26.0,7.915,1.877,0.696,0.857,0.0,1.142,0.979,0.325,3.264,1,0,0,12.256
1,Nabil Fekir,26,2018-2019,29,1.0,0.407,0.317,0.226,48.848,0.813,2.309,1.041,28.59,5.885,0.0,0.589,0.045,40.403,7.923,3.712,0.573,0.608,0.0,1.901,0.136,0.295,1.992,0,1,0,22.089
1,Claudio Beauvue,31,2018-2019,25,0.893,0.18,0.0,0.12,22.875,0.627,0.841,0.54,32.708,1.561,0.0,0.24,0.12,24.727,6.965,1.561,0.385,0.611,0.12,0.54,1.261,0.454,8.466,1,1,0,16.656
1,Ante Budimir,27,2018-2019,17,0.944,0.241,0.161,0.08,22.159,0.696,1.044,0.562,15.167,2.168,0.0,0.321,0.0,20.792,8.751,1.204,0.6,0.875,0.08,0.723,0.642,0.477,7.065,1,1,0,12.456
1,Yannis Salibur,28,2018-2019,22,0.786,0.1,0.3,0.1,33.463,0.699,1.898,1.199,27.718,4.895,0.0,0.599,0.0,22.228,8.79,3.696,0.703,0.556,0.0,0.599,0.4,0.346,2.597,1,1,0,10.011
1,Pablo Chavarría,31,2018-2019,30,1.0,0.228,0.137,0.228,19.159,0.595,1.004,0.502,27.185,1.551,0.0,0.228,0.0,21.929,6.432,1.14,0.4,0.6,0.0,0.502,0.867,0.398,8.485,1,0,0,21.922
1,Aleksandar Trajkovski,26,2018-2019,34,0.971,0.279,0.314,0.279,40.198,0.736,2.689,1.711,32.511,5.623,0.105,0.594,0.035,29.129,11.211,3.877,0.459,0.714,0.105,0.594,0.244,0.308,0.908,0,1,0,28.633
1,Bruno Martella,26,2018-2019,25,0.962,0.096,0.241,0.096,56.286,0.7,1.447,1.833,55.972,2.797,0.0,0.241,0.0,38.554,5.498,1.109,0.696,0.609,0.386,0.579,3.135,0.625,2.315,0,0,1,20.733
1,Mario Balotelli,29,2018-2019,25,1.0,0.427,0.053,0.427,24.677,0.686,0.908,0.214,19.837,2.564,0.0,0.32,0.0,28.556,5.234,1.709,0.406,0.5,0.16,0.748,0.748,0.436,4.166,1,0,0,18.722
1,Lukas Lerager,25,2018-2019,18,0.9,0.0,0.069,0.0,45.624,0.79,0.624,0.693,35.216,1.872,0.208,0.208,0.0,43.111,1.525,0.277,0.5,0.553,0.693,0.832,1.803,0.49,3.398,0,1,0,14.422
1,Antonio Barreca,24,2018-2019,7,0.778,0.0,0.152,0.0,42.04,0.74,0.759,0.911,90.167,1.518,0.0,0.152,0.0,28.933,4.401,1.518,0.2,0.727,0.304,0.152,2.732,0.478,3.491,0,0,1,6.589
1,Samuel Di Carmine,30,2018-2019,22,0.759,0.437,0.109,0.273,18.634,0.581,1.311,0.437,19.25,2.131,0.0,0.383,0.0,20.5,7.322,0.109,1.0,0.8,0.0,0.164,1.148,0.513,4.153,1,0,0,18.3
1,Davide Faraoni,27,2018-2019,32,0.941,0.147,0.073,0.147,57.55,0.717,0.992,1.323,46.633,2.389,0.073,0.147,0.0,38.294,6.946,1.507,0.415,0.697,0.331,0.845,2.205,0.444,1.323,0,1,1,27.211
1,Adrien Rabiot,24,2018-2019,14,1.0,0.169,0.085,0.169,89.746,0.925,0.508,0.762,34.148,2.371,0.0,0.847,0.0,67.447,2.032,1.863,0.682,0.571,0.169,0.593,1.693,0.667,2.54,0,1,0,11.811
1,Panagiotis Tachtsidis,28,2018-2019,17,1.0,0.0,0.194,0.0,66.676,0.792,1.292,1.163,48.104,2.455,0.065,0.388,0.0,89.176,0.84,0.388,0.833,0.84,0.323,0.711,1.938,0.702,3.037,0,1,0,15.478
1,Biagio Meccariello,28,2018-2019,33,0.971,0.0,0.032,0.0,51.474,0.871,0.189,0.158,115.733,0.568,0.0,0.063,0.0,192.143,0.663,0.474,0.6,0.723,0.537,0.505,5.242,0.711,2.4,0,0,1,31.667
1,Andrea Rispoli,30,2018-2019,22,0.733,0.0,0.059,0.0,59.668,0.716,0.995,1.64,71.607,2.108,0.0,0.059,0.0,40.447,5.094,0.761,0.385,0.714,0.176,0.468,2.401,0.537,2.401,0,0,1,17.078
1,Rafael Leão,20,2018-2019,24,0.889,0.559,0.21,0.559,17.622,0.702,0.909,0.49,21.235,1.748,0.07,0.42,0.07,29.588,5.315,1.189,0.529,0.4,0.28,0.629,0.839,0.325,5.804,1,0,0,14.3
1,Kastriot Dermaku,27,2018-2019,32,1.0,0.032,0.064,0.032,38.98,0.797,0.193,0.161,133.133,0.61,0.032,0.096,0.0,302.833,0.225,0.032,1.0,0.697,1.027,0.289,5.202,0.694,3.981,0,0,1,31.144
1,Tommaso Augello,24,2018-2019,31,0.861,0.032,0.13,0.032,77.059,0.801,1.524,1.459,62.524,2.984,0.032,0.195,0.0,41.087,5.643,2.011,0.677,0.739,0.13,0.649,2.497,0.712,1.686,0,0,1,30.833
1,Davide Mazzocco,23,2018-2019,18,0.621,0.258,0.129,0.258,34.362,0.704,1.225,0.645,35.885,2.579,0.0,0.193,0.0,36.786,3.546,1.096,0.765,0.634,0.258,0.645,1.547,0.575,5.158,0,1,1,15.511
1,Ilija Nestorovski,29,2018-2019,26,0.963,0.647,0.185,0.554,25.503,0.661,0.97,1.109,16.819,3.835,0.0,0.647,0.046,44.385,8.963,0.878,0.474,0.769,0.046,0.416,0.601,0.306,3.927,1,0,0,21.644
1,Mato Jajalo,31,2018-2019,33,1.0,0.092,0.092,0.092,59.735,0.817,1.44,1.256,35.297,4.258,0.061,0.245,0.031,48.624,1.961,2.175,0.817,0.625,0.276,0.827,1.409,0.5,1.348,0,1,0,32.644
1,Adama Soumaoro,27,2018-2019,20,0.909,0.0,0.052,0.0,48.369,0.943,0.157,0.052,203.56,0.261,0.0,0.052,0.0,219.111,0.052,0.418,0.75,0.786,0.94,0.157,4.806,0.6,3.395,0,0,1,19.144
1,Emanuele Cicerelli,25,2018-2019,22,0.611,0.187,0.0,0.187,36.916,0.767,0.935,0.935,42.96,2.991,0.093,0.093,0.093,40.04,7.477,3.271,0.629,0.538,0.187,1.215,1.589,0.455,1.028,0,1,1,10.7
1,Christopher Nkunku,21,2018-2019,22,0.611,0.234,0.156,0.234,50.216,0.887,1.324,1.324,26.295,2.881,0.156,0.467,0.0,31.577,10.121,3.036,0.59,0.762,0.156,0.779,0.545,0.423,2.024,1,1,0,12.844
1,Moussa Diaby,19,2018-2019,25,0.694,0.158,0.473,0.158,44.33,0.795,1.578,1.578,30.216,2.682,0.0,0.789,0.158,26.533,11.674,2.84,0.556,0.571,0.079,0.473,0.473,0.182,0.868,0,1,1,12.678
1,Marcus Thuram,21,2018-2019,32,1.0,0.315,0.035,0.175,29.265,0.7,1.26,0.595,25.632,3.186,0.035,0.21,0.0,25.744,7.736,5.111,0.692,0.622,0.035,0.805,0.49,0.542,7.106,1,1,0,28.567
1,Ramy Bensebaini,24,2018-2019,25,0.962,0.042,0.0,0.042,53.197,0.77,0.376,0.46,72.478,1.464,0.042,0.084,0.0,44.689,3.889,1.171,0.429,0.696,0.418,0.586,4.099,0.614,3.471,0,0,1,23.911
1,Ellyes Skhiri,24,2018-2019,37,1.0,0.087,0.058,0.087,48.728,0.854,0.67,0.495,35.949,2.417,0.117,0.32,0.029,52.921,1.515,1.252,0.744,0.552,0.204,1.544,1.194,0.571,2.039,0,1,0,34.333
1,Serhou Guirassy,23,2018-2019,13,1.0,0.243,0.081,0.243,26.733,0.633,0.972,0.729,19.258,2.268,0.0,0.324,0.0,33.312,7.534,1.944,0.375,0.714,0.0,0.567,1.134,0.607,12.151,1,0,0,12.344
